	Desc	Paliwo	Stan	Rok	Przebieg	Cena
1043	BMW X5 III (F15) Bezwypadkowy*xDrive*Mpakiet*258KM*Automat*Navi Professional*Kamera	diesel	bezwypadkowy	2014.0	187000.0	157500.0
1044	BMW X3 I (E83) 2.0 D. 4x4. Serwis. Skóra. Opłacony. Gwarancja. Zamiana	diesel	bezwypadkowy	2007.0	242000.0	28900.0
1045	BMW SERIA 3 3.0 230km Instalacja LPG Pełna Opcja Możl Zamiana i Gwarancja	benzyna	sprawny	2008.0	110000.0	49900.0
1046	BMW SERIA 5 3,0d DUDKI 11 aut,navi,2 kluczyki,skóry,komforty,xenon,parktr,alu,GW	diesel	sprawny	2006.0	273000.0	25900.0
1047	BMW X1 , Salon Polska, Serwis ASO, 174 KM, 4X4, Automat, Navi,	diesel	bezwypadkowy	2012.0	93990.0	63000.0
1048	BMW SERIA 3 IV (E46) 318 1.9 118 KM Zadbana Alu 18 Wersja Individual	benzyna	bezwypadkowy	2001.0	238000.0	12800.0
1049	BMW X1 I (E84) 2.0D 163KM S-Drive Duża Navi -FILM VIDEO -Zobacz	diesel	sprawny	2013.0	195000.0	54600.0
1050	BMW X5 II (E70) 3,0 d XDrive, salon Polska, I użytkownik, serwisowany	diesel	sprawny	2010.0	192300.0	79800.0
1051	BMW SERIA 3 IV (E46) 318 2002r 2,0 benzyna 143 KM nowy rozrząd zamiana raty	benzyna	sprawny	2002.0	120600.0	13400.0
1052	BMW X3 I (E83) , Salon Polska, Serwis ASO, 174 KM, Automat	diesel	bezwypadkowy	2010.0	150071.0	46000.0
1053	BMW SERIA 3 330 258KM*Automat*Adaptive LED*ConnectedDrive*HeadUp*StartStop*Nawi*	diesel	sprawny	2017.0	24000.0	199900.0
1054	BMW X3 II (F25) 3.5i Xdrive Automat 23% VAT Panorama Skóra Xenon Zadbana	benzyna	sprawny	2013.0	177000.0	73677.0
1055	BMW SERIA 7 735 3.6 V8* 272KM* Skóra* Navi* Xenon* Szyberdach* Gwarancja	benzyna	sprawny	2003.0	195080.0	22200.0
1056	BMW X3 I (E83) 2.0 Diesel 150KM, 4x4, Manual, Świetny stan wizualny i techniczny	diesel	bezwypadkowy	2006.0	338000.0	21900.0
1057	BMW X5 I (E53) 3.0d 218ps Lift Automat 4x4 Zadbany Panorama Kseno	diesel	bezwypadkowy	2005.0	269000.0	27900.0
1058	BMW X5 II (E70) 3.0D M-Pakiet SalonPL VAT23% Navi Professional Skóra Alu20' PAPIS	diesel	bezwypadkowy	2012.0	82300.0	145017.0
1059	BMW SERIA 3 316 1.6 133KM, Klima,Elektryka,FabrRadioCD,Alu,Esp,Abs,Komputer	benzyna	bezwypadkowy	2008.0	149396.0	23500.0
1060	BMW SERIA 5 520 2.0 D 520d Navi Aut. Salon PL 1wł. Gwarancja	diesel	bezwypadkowy	2013.0	131857.0	79900.0
1061	BMW X3 I (E83) Salon Polska, jeden użytkownik, serwis ASO, doskonały stan	diesel	bezwypadkowy	2008.0	148000.0	37900.0
1062	BMW SERIA 5 D X Drive Full Wyposażenie, Panorama, Head Up	diesel	sprawny	2012.0	165348.0	90897.0
1063	BMW SERIA 1 Serwis - 6 Bieg - Naprawdę Polecam - Auto z GWARANCJĄ	diesel	bezwypadkowy	2008.0	244000.0	23900.0
1064	BMW SERIA 5 3,0d DUDKI11 M-Pakiet,skóry,navi,automat, SERWIS,parktronic,opłacony	diesel	sprawny	2004.0	336000.0	27900.0
1065	BMW SERIA 5 Cudna e60 3.0i Xenon Jasne Skóry NAVI Alu Bezwypadkowa	benzyna	bezwypadkowy	2004.0	258000.0	28900.0
1066	BMW X3 II (F25) 2.0 177 KM X-Drive vat 23%	diesel	bezwypadkowy	2010.0	189000.0	43885.0
1067	BMW SERIA 3 318 1.5 T 318i Advantage aut Salon PL 1wł. Gwarancja	benzyna	bezwypadkowy	2015.0	43905.0	71900.0
1068	BMW SERIA 5 530 M Pakiet 3.0 236 KM Bogata Wersja Wyposażenia	diesel	bezwypadkowy	2008.0	282000.0	35999.0
1069	BMW X3 II (F25) Salon PL I właściciel zakupiony 2017 r.	benzyna	bezwypadkowy	2016.0	24000.0	125000.0
1070	BMW SERIA 5 525 ASO HeadUp Panorama DociąganieDrzwi Podgrz.Kierownica El.Klapa P	diesel	bezwypadkowy	2012.0	134600.0	71900.0
1071	BMW SERIA 1 118 2.0d Nowy Model Klimatronic Zarejestrowany w PL 5 drzwi PDC	diesel	bezwypadkowy	2012.0	161000.0	34800.0
1072	BMW SERIA 5 525 Bezwypadkowy*54000km*Automat*218KM*Skóry*Szyberdach*Nawigacja*fv	diesel	bezwypadkowy	2015.0	54000.0	109900.0
1073	BMW SERIA 3 Gran Turismo 2,0 Benzyna 184KM XDrive Krajowy FV23	benzyna	bezwypadkowy	2016.0	54000.0	99999.0
1074	BMW SERIA 5 520 Salon Polska*I właściciel*49000km*I rej 2017*Automat*190KM*Skóry	diesel	sprawny	2016.0	49000.0	114900.0
1075	BMW SERIA 1 116 benz, ks. serw ASO, bogata wersja, idealna!	benzyna	bezwypadkowy	2005.0	187000.0	20900.0
1077	BMW SERIA 3 IV (E46) 328 M-Pakiet Skóra Climatronic Zarejestrowany	benzyna	sprawny	1999.0	271000.0	16900.0
1078	BMW SERIA 3 IV (E46) 2.0 Benzyna 143KM!Stan BDB!Opłacona!Climatronic!	benzyna	sprawny	2003.0	187000.0	11550.0
1079	BMW SERIA 4 I (F32) 420 190KM,GranCoupe,sport.siedzenia,LED,navi,skóra,Aktywny tempomat,	diesel	bezwypadkowy	2015.0	182000.0	98277.0
1080	BMW X1 I (E84) 2.0D 143KM, 100% Oryginał Lakier, 2010r, Panorama	diesel	bezwypadkowy	2010.0	163000.0	40900.0
1081	BMW SERIA 5 IV (E39) zadbane auto, serwisowane, dobry stan techniczny, gwarancja	diesel	sprawny	2001.0	296159.0	7900.0
1082	BMW SERIA 7 III (E38) Przygotowana do rejestracji. Automat, przyciemniane szyby, skóra.	benzyna	sprawny	1997.0	238000.0	12990.0
1083	BMW SERIA 3 IV (E46) 323CI 170KM Klima PNEUMATYKA AIR RIDE TUNING	benzyna	sprawny	2000.0	192000.0	15900.0
1084	BMW SERIA 3 IV (E46) 316 ti automat Przebieg 74 tyś km!!	benzyna	bezwypadkowy	2004.0	74500.0	15900.0
1085	BMW SERIA 1 2.0D 136KM SKÓRA NAVI 1ROK GWARANCJI STAN TECH PERFECT	diesel	sprawny	2007.0	250000.0	17999.0
1086	BMW SERIA 3 IV (E46) LIFT! 2,0 DIESEL 150 KM! Bogate wyposażenie!	diesel	sprawny	2004.0	335653.0	9300.0
1088	BMW SERIA 3 IV (E46) E46 Kombi LIFT 2.0 benzyna 143 KM	benzyna	sprawny	2002.0	279900.0	9900.0
1089	BMW X3 II (F25) xDrive20d 184KM Od Dealera Automat Salon Polska Bezwypadkowy FV23%	diesel	bezwypadkowy	2014.0	94200.0	104500.0
1090	BMW X3 I (E83) 2.0 D 150PS*Klimatronic*Nawigacja*Tempomat*Super Stan	diesel	sprawny	2006.0	193455.0	30900.0
1091	BMW X3 I (E83) 2.0d X-Drive 4x4 150 Ps 1 rej. 4/2008	diesel	sprawny	2007.0	223721.0	31900.0
1092	BMW X3 II (F25) 2.0d Skóry Xenon Serwisowana !!!	diesel	bezwypadkowy	2010.0	367000.0	29900.0
1093	BMW SERIA 2 Active Tourer,gwarancja do 2021r,salon polska	benzyna	bezwypadkowy	2016.0	16048.0	94900.0
1094	BMW SERIA 3 IV (E46) 318 BOGATA OPCJA STAN BDB	benzyna	bezwypadkowy	2002.0	241000.0	13700.0
1095	BMW SERIA 1 116 Oryginał,Serwis,Po Opłatach,Jak Nowa.	benzyna	bezwypadkowy	2012.0	70921.0	36500.0
1096	BMW SERIA 1 116 1.6 Benzyna 122 KM	benzyna	sprawny	2009.0	115000.0	19900.0
1097	BMW SERIA 4 WD7751F # xDrive # Automat # 435d # Navi #	benzyna	sprawny	2014.0	156992.0	116599.0
1098	BMW SERIA 3 316d EU6 sedan 4DR KR2H718	diesel	bezwypadkowy	2015.0	48681.0	83699.0
1099	BMW SERIA 3 IV (E46) Klimatronik Grzane Fotele	benzyna	bezwypadkowy	2004.0	149000.0	13900.0
1100	BMW X6 I (E71) Xdrive 35i Auto Punkt	benzyna	sprawny	2016.0	17900.0	195000.0
1101	BMW X3 II (F25) X4 2015 Auto Punkt	benzyna	sprawny	2014.0	1.0	237528.0
1102	BMW X5 III (F15) XDrive 35 i Auto Punkt	benzyna	uszkodzony	2014.0	2344.0	131246.0
1103	BMW SERIA 6 650 Grand Coupe Auto Punkt	benzyna	uszkodzony	2015.0	14049.0	131246.0
1104	BMW SERIA 1 E87 118D 143KM, Po opłatach	diesel	sprawny	2008.0	259708.0	19900.0
1105	BMW SERIA 3 318 318D 2,0D Zarejestrowana Bezwypadkowa	diesel	bezwypadkowy	2006.0	250000.0	16900.0
1106	BMW 2.0 Turbo Benzyna* 252KM* Tylko 1500km* Gwarancja	benzyna	sprawny	2017.0	1590.0	129000.0
1107	BMW SERIA 1 118 2.0d 143KM* Alu * Klima * Anglik	diesel	sprawny	2012.0	203196.0	28900.0
1108	BMW VAT23% Climatronic Nawigacja Xenon Panorama Kamera Tempomat PAPIS	diesel	bezwypadkowy	2013.0	112900.0	79950.0
1109	BMW SERIA 3 IV (E46) 316 klima aso super	benzyna	bezwypadkowy	2003.0	143000.0	9700.0
1110	BMW X5 I (E53) 3.0d Automat Klimatronik Gwarancja !!!	diesel	sprawny	2004.0	272000.0	33900.0
1111	BMW SERIA 1 2014_116iBenzyna 135KM_SUPER_TANIE RATY W NEXT-CAR	benzyna	bezwypadkowy	2014.0	49393.0	48000.0
1112	BMW SERIA 3 318 318D 2,0D Zarejestrowana Bezwypadkowa	diesel	bezwypadkowy	2006.0	250000.0	16900.0
1113	BMW 2.0 Turbo Benzyna* 252KM* Tylko 1500km* Gwarancja	benzyna	sprawny	2017.0	1590.0	129000.0
1114	BMW SERIA 1 118 2.0d 143KM* Alu * Klima * Anglik	diesel	sprawny	2012.0	203196.0	28900.0
